"nocues","nhog","f_calib3","region","aglo","t_aglo","estrato_U","cod_U","v1","v1esp","v2","v3","v4","v5","v6","v7","v8","v9","v10a","v10b","v10c","v10d","v10e","v10f","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v62a","v62b","v62c","v63","v63a","v63b","v64","v64a","v64b","v65","v65a","v65b","v66","v66a","v66b","v67","v67a","v68","v68a","v68b","v68c","v69","v69a","v69b","v70","v70a","v70b","v70c","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v90cuantos","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103a","v103b","v103c","v104","v105a","v105b","v105c","v106a","v106b","v107a","v107b","v218","v219","v220","v221","v222","v223","v224","v225","v226","v227","v228","v229","v230","v231","v232","v233","v234","v235","v236","v235i","v235i_d","ITHPC","ITHPC_d","v237","tamaño","c_hogar","vnropsh","v238a","v239a","v240a","v241a","v242a","v243a","v244a","v245a","v246a","v247a_CIUO08","v247a_CNO01","v250a","v251a","v252a_CAES","v253a","v254a","v255a","v256a","v257a","egp11a","CSOa","v258a","v259a","v260a","v261a","vnrocon","v238b","v239b","v240b","v241b","v242b","v243b","v244b","v245b","v246b","v247b_CIUO08","v247b_CNO01","v250b","v251b","v252b_CAES","v253b","v254b","v255b","v256b","v257b","egp11b","CSOb","v258b","v259b","v260b","v261b"
11,1,813,3,6,1,155,683,2,,1,1,1,1,1,5,,,,,,,,,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,1,2,1,0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,2,1,2,2,,,,2,2,2,2,2,2,2,1,1,2,1,,,2,,,,2,,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,5,9000,5,3000,4,3,3,3,1,1,1,6,1,,2,7,1,,"2310","42311",1,2,"8501",1,6,3,1,3,1,2,6,1,4,,2,1,2,3,1,,1,5,1,,"4412","35313",1,2,"5300",1,6,3,1,3,9,8,6,1,4,
12,1,1350,3,6,1,155,683,2,,4,1,1,1,1,1,2,2,2,,,,,,4,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,2,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,,,2,,,2,,,2,,,2,,,2,,2,,,,2,,,2,,,,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,1,228,2011,2,2,2,2,2,2,2,1,1,2,1,2,,2,,,,2,,2,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,,5,11640,6,3880,5,2,3,3,1,1,1,1,2,5,1,5,1,,"1324","03001",1,4,"3003",1,6,3,1,3,1,4,6,1,5,,2,1,1,5,1,,2,5,1,,"3321","10312",1,3,"6500",2,4,5,,,1,5,6,1,5,
13,1,776,3,6,1,155,683,2,,1,1,1,1,1,1,2,2,1,,,,,,4,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,2,1,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,1,2,228,2005,2,2,2,2,2,2,,1,1,2,1,2,,2,,,,2,,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7000,,7000,3,1400,2,2,5,3,1,2,1,6,1,,4,,,,"2310","41311",2,,"8501",1,6,3,1,3,1,2,7,1,4,,2,1,1,6,1,,2,6,1,,"2611","11131",2,,"6900",2,4,2,,,1,5,7,1,4,
14,1,585,3,6,1,155,683,2,,1,1,1,1,1,1,2,2,2,,,,,,5,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,2,2,0,2,3,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,166,2007,1,1,1,2,2,1,2,1,1,2,1,2,,2,,,,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7000,,7000,3,3500,5,2,2,2,1,1,2,3,2,3,2,1,1,,"5221","06001",1,2,"4805",2,4,1,,,1,3,6,1,4,,2,1,2,1,2,3,1,1,2,5,"1324","07001",1,4,"4903",2,6,1,,,1,1,6,1,4,
15,1,764,3,6,1,155,683,3,,7,1,1,1,2,7,,,,,,,,,3,3,0,1,2,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,1,2,1,0,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,1,2,2,1,2,,2,,,,2,,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,6,11500,6,1642.857142857143,2,3,7,6,1,1,1,1,1,,1,3,1,,"3122","80203",1,2,"1100",2,2,3,1,3,2,4,4,1,4,,2,1,2,1,1,,2,1,1,,"5221","30113",2,,"4803",2,1,2,,,6,5,4,1,4,
16,1,615,3,6,1,155,683,3,,1,1,1,1,1,1,1,1,2,,,,,,4,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,1,1,,3,,,,1,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,1,1,2,,,,1,2,2,2,2,,2,1,1,2,1,2,,2,,,,2,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,6,11500,6,3833.3333333333335,5,2,3,8,1,1,1,1,1,,2,3,1,,"5221","32123",1,1,"4801",2,1,2,,,6,5,7,1,2,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
17,1,674,3,6,1,155,683,3,,1,1,1,1,1,1,1,1,1,,,,,,3,2,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,1,2,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,,,,2,,,2,,,2,,,2,,,2,,2,,,,1,3,,2,,,,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,,,,1,2,2,2,2,,2,1,1,2,1,2,,2,,,,2,,2,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5000,,5000,2,2500,4,2,2,4,1,1,6,0,,,2,0,,,"5153","47314",1,4,"8501",1,6,3,1,3,9,9,5,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
18,1,756,3,6,1,155,683,3,,1,1,1,1,1,5,,,,,,,,,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,1,1,0,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,231,2013,1,1,1,2,1,2,2,1,1,1,1,2,,1,4,,,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19500,,19500,8,6500,8,2,3,3,1,1,1,5,1,,2,6,1,,"3112","72312",1,1,"4000",2,2,3,1,3,2,4,6,1,2,,2,1,2,1,2,2,2,1,2,,"9313","72114",1,2,"4000",2,2,2,,,9,10,4,1,3,
19,1,1505,5,6,3,191,462,3,,1,1,1,1,1,1,1,1,6,,,,,,4,1,0,1,4,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,2,2,2,4,,,2,,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,8000,4,4000,5,2,2,8,1,1,2,1,,,2,1,2,,"8331","34323",2,,"0102",2,2,3,2,2,9,8,5,1,1,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
20,1,1915,5,6,3,191,462,3,,1,1,1,4,1,1,1,1,6,,,,,,5,2,0,1,4,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,1,3,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,122,2000,1,2,2,2,2,2,2,2,1,2,1,,,2,,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,8000,,8000,4,8000,8,2,1,1,1,1,1,0,,,2,0,,,"5223","30314",2,,"4808",2,1,3,,,4,6,5,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
