"nocues","nhog","f_calib3","region","aglo","t_aglo","estrato_U","cod_U","v1","v1esp","v2","v3","v4","v5","v6","v7","v8","v9","v10a","v10b","v10c","v10d","v10e","v10f","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v62a","v62b","v62c","v63","v63a","v63b","v64","v64a","v64b","v65","v65a","v65b","v66","v66a","v66b","v67","v67a","v68","v68a","v68b","v68c","v69","v69a","v69b","v70","v70a","v70b","v70c","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v90cuantos","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103a","v103b","v103c","v104","v105a","v105b","v105c","v106a","v106b","v107a","v107b","v218","v219","v220","v221","v222","v223","v224","v225","v226","v227","v228","v229","v230","v231","v232","v233","v234","v235","v236","v235i","v235i_d","ITHPC","ITHPC_d","v237","tamaño","c_hogar","vnropsh","v238a","v239a","v240a","v241a","v242a","v243a","v244a","v245a","v246a","v247a_CIUO08","v247a_CNO01","v250a","v251a","v252a_CAES","v253a","v254a","v255a","v256a","v257a","egp11a","CSOa","v258a","v259a","v260a","v261a","vnrocon","v238b","v239b","v240b","v241b","v242b","v243b","v244b","v245b","v246b","v247b_CIUO08","v247b_CNO01","v250b","v251b","v252b_CAES","v253b","v254b","v255b","v256b","v257b","egp11b","CSOb","v258b","v259b","v260b","v261b"
1242,1,1225,6,6,4,206,591,3,,1,2,2,4,4,1,1,2,1,,,,,,3,2,0,1,4,1,1,1,2,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,197,2007,2,2,2,2,2,2,2,1,2,2,4,,,1,4,,,3,,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7000,,7000,3,1750,2,2,4,3,1,1,2,,,,2,,,,"6130","60193",2,,"0101",9,9,2,,,11,,5,1,4,,2,2,1,1,,,4,,,,"9112","56394",2,,"8600",1,,3,1,3,9,,5,1,4,
1243,1,1509,6,6,4,206,591,3,,1,2,2,4,2,5,,,,,,,,,3,2,0,1,4,1,1,1,3,1,1,1,2,1,2,2,1,0,0,0,0,0,1,1,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,2,2,2,2,2,2,2,2,2,2,4,,,2,,,,3,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,3,7000,3,1750,2,2,4,3,1,1,2,1,1,,2,1,2,6,"5221","30113",1,2,"4809",2,9,2,,,6,,3,2,,2,2,1,1,1,2,2,2,1,2,4,"6112","05002",1,2,"0101",2,2,1,,,11,5,3,2,,3
1244,1,1348,6,6,4,206,591,3,,1,2,2,,4,2,1,2,1,,,,,,1,1,0,2,4,1,2,2,4,1,1,1,2,2,2,2,2,0,1,1,1,0,1,0,0,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,1,1,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,,,,2,2,2,2,2,2,2,2,2,2,1,,,2,,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,4800,2,2400,3,3,2,4,1,3,1,3,1,,4,,,,"9111","55314",2,,"9700",2,1,3,2,2,9,11,1,1,1,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1245,1,1214,6,6,4,206,591,3,,1,2,2,4,4,1,1,1,1,,,,,,4,2,1,1,4,1,1,1,3,1,1,1,1,2,2,1,2,0,1,1,1,1,0,1,0,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,2,2,2,2,2,2,2,1,2,2,1,,,1,4,,,3,,3,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1,11500,6,11500,10,2,1,1,1,1,4,,,,2,1,,,"6111","05002",2,,"0101",9,9,1,,,11,,,,,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1246,1,1090,6,6,4,206,591,3,,1,1,1,4,1,3,,,,,,,,,3,2,0,1,4,1,1,1,3,1,1,1,1,2,1,1,2,0,1,1,1,1,2,0,0,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,1,,,3,,,3,,,3,,,3,,,3,,3,,,,1,1,,3,,,,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,,,2,2,2,2,1,2,2,1,2,2,1,,,2,,,,3,,3,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,3500,1,1750,2,2,2,4,1,1,1,,,,2,,,,"9213","61193",,,"0103",2,9,2,,,11,,,,,1,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1247,1,839,6,6,2,202,595,3,,1,1,1,3,1,1,2,1,2,,,,,,1,1,0,1,4,1,1,1,2,1,1,1,1,1,2,2,2,0,1,0,0,0,0,0,0,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,,,,3,,,,3,,,2,1,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,,,,2,1,2,2,2,2,2,2,1,1,2,,,2,,,,3,,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5500,,6000,3,6000,7,,1,1,1,1,3,5,2,2,2,5,1,,"2300","41312",2,,"8501",1,5,3,1,3,2,4,7,2,,3,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1248,1,987,6,6,2,202,595,3,,1,1,1,3,1,1,1,1,1,4,,,,,4,3,0,1,4,1,1,1,3,1,1,1,1,1,1,1,2,0,1,1,1,1,0,0,0,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,200,2013,1,1,2,2,1,2,2,1,2,2,1,2,,1,4,,,1,1,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16000,,16000,8,3200,5,2,5,3,2,1,3,3,1,,2,5,1,,"7411","05002",2,,"4000",2,1,1,,,5,5,6,1,4,,1,1,3,3,1,,2,5,1,,"3155","49392",1,2,"8402",1,6,3,1,3,2,4,6,1,4,
1249,1,810,6,6,2,202,595,3,,1,1,1,4,1,1,1,1,1,,,,,,3,2,0,1,4,1,1,1,2,1,1,1,1,1,2,2,2,0,2,2,2,2,0,0,0,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,1,1,,,3,,,1,1,,3,,,3,,,3,,3,,,,1,1,,3,,,,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,179,1977,1,2,2,2,2,2,2,1,2,2,1,,,2,,,,3,,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7600,,7600,4,2533.3333333333335,4,3,3,5,2,2,2,1,2,2,3,1,2,,"5246","53113",2,,"5601",2,2,2,,,6,10,4,1,3,,1,1,2,,,,2,,,,"9211","60314",,,"0101",2,2,3,2,2,10,9,4,1,2,
1250,1,929,6,6,2,202,595,3,,1,1,1,4,1,8,,,,,,,,,3,2,0,1,4,1,1,1,2,1,1,1,1,1,1,2,2,0,1,1,1,1,0,0,0,0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,,,3,,,,1,1,,3,,,3,,,3,,,3,,3,,,,1,1,,3,,,,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,2,2,2,2,2,2,2,1,2,2,1,,,2,,,,3,,3,,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1900,,3500,1,1166.6666666666667,1,3,3,3,1,1,4,1,2,2,2,1,2,2,"7112","72113",2,,"4000",2,1,2,,,6,7,4,1,3,,2,1,4,1,2,3,2,1,2,2,"8343","34323",2,,"5000",1,6,3,,3,8,8,5,1,3,
1251,1,756,6,6,2,202,595,3,,1,1,1,4,1,1,1,1,1,,,,,,4,3,0,1,4,1,1,1,2,1,1,1,1,1,2,2,2,0,2,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,1,1,,3,,,3,,,3,,3,,,,1,1,,3,,,,1,2,1,1,2,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,,,,2,1,2,2,2,2,1,1,2,2,1,,,1,4,,,3,,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4100,,4100,2,2050,3,3,2,4,2,1,4,,,,2,,,,"9211","60114",2,,"0101",2,2,2,,,11,10,5,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1252,1,1311,6,6,4,204,607,3,,5,1,1,4,1,5,,,,,,,,,1,1,0,1,4,1,2,1,2,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,,,,1,1,2,2,2,2,2,1,2,1,2,,,2,,,,3,,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6000,,6000,3,3000,4,1,2,2,1,1,1,3,1,,2,1,1,,"4416","10333",2,,"1009",4,9,3,1,3,4,,7,1,5,,2,1,1,1,1,,2,1,1,,"6112","05002",1,2,"0101",2,2,1,,,11,5,7,,,4
1253,1,1476,6,6,4,204,607,3,,1,1,2,4,2,5,,,,,,,,,5,4,0,1,4,1,1,1,3,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,2,1,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,2,1,2,1,,,2,,,,3,,3,,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,6,,3,5000,2,833.3333333333334,1,2,6,3,1,2,1,1,2,5,4,,,,"7516","80313",2,,"0101",2,6,3,1,2,8,8,6,1,2,,2,3,1,1,2,3,3,1,2,2,"9211","60314",2,,"0104",,3,3,2,3,10,,7,1,4,
1254,1,1402,6,6,4,204,607,3,,3,1,2,4,1,5,,,,,,,,,4,2,0,1,4,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,160,2008,1,1,1,1,2,2,2,1,1,2,1,2,,2,,,,3,,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,11000,,11000,6,3666.6666666666665,5,2,3,3,1,1,1,3,2,3,2,1,1,,"5221","30113",2,,"4807",2,2,2,,,6,5,8,1,4,,2,1,1,1,1,,2,1,2,3,"8183","80323",1,2,"1009",4,6,3,1,3,9,8,7,1,4,
1255,1,1450,6,6,4,204,607,3,,1,2,2,5,4,5,,,,,,,,,4,2,0,1,4,1,1,1,3,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,104,1992,1,2,2,2,2,2,2,2,2,2,4,,,2,,,,3,,2,3,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,4,,3,5980,3,1495,2,3,4,6,2,2,2,1,1,,4,,,,"5311","55314",2,,"9700",2,1,3,1,3,4,11,7,1,2,,1,1,4,1,2,3,2,0,,,"9211","60114",1,2,"0101",2,2,2,,,11,10,3,1,2,
1256,1,1079,6,6,4,204,607,3,,1,2,2,4,4,1,1,1,1,,,,,,3,2,0,1,4,1,1,1,2,1,1,1,1,2,2,2,2,1,0,0,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,1,3,,3,,,,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,106,1972,2,2,2,2,2,2,2,1,2,2,1,,,2,,,,3,,3,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5200,,5200,2,2600,4,2,2,8,1,1,6,1,1,,2,1,2,3,"6112","05002",1,1,"0101",2,2,1,,,11,5,5,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1257,1,1239,6,6,4,204,607,3,,1,1,1,4,1,1,1,1,1,,,,,,4,1,0,1,4,1,1,1,2,1,1,1,1,2,2,1,2,1,1,0,0,0,2,1,1,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,1,3,,3,,,,1,2,1,2,1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,1,2,219,2012,1,2,2,2,1,2,2,1,2,2,2,1,,2,,,,3,,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4700,,4800,2,2400,3,3,2,2,2,1,6,,,,2,,,,"6112","05002",2,,"0101",2,2,1,,,11,5,7,1,4,,1,1,2,1,1,,2,1,1,,"1112","00001",1,3,"8401",1,4,3,1,3,1,4,7,1,4,
1258,1,1249,6,6,4,204,607,3,,1,1,1,4,1,5,,,,,,,,,4,3,1,1,4,1,1,1,2,1,1,1,1,2,1,1,2,0,1,0,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,2,,,,1,1,2,2,2,2,2,1,2,2,1,2,,2,,,,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17000,,17000,8,8500,9,2,2,2,2,1,2,1,1,,2,1,1,,"7112","05002",1,2,"4000",2,2,1,,,5,5,7,1,3,,1,1,2,1,2,3,2,1,1,,"4212","33314",2,,"9200",2,4,3,2,2,4,6,5,2,,4
1259,1,1069,6,6,4,204,607,3,,1,1,1,3,1,1,1,1,1,,,,,,4,3,0,1,4,1,1,1,1,1,1,1,1,2,1,1,2,0,2,0,0,0,1,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,21,2013,1,2,2,2,2,2,2,1,1,1,1,2,,1,4,,,1,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14800,,17800,8,8900,9,2,2,2,1,1,2,1,2,3,2,1,2,,"6112","05002",2,,"0101",2,2,1,,,11,5,6,1,4,,2,1,4,1,2,5,2,1,1,,"9211","60394",2,,"0101",4,4,3,1,3,10,9,5,1,4,
1260,1,1667,6,6,2,203,601,1,,1,1,1,4,2,1,1,2,1,,,,,,2,1,0,3,4,1,1,1,2,1,1,1,2,2,2,2,2,0,3,1,1,1,1,3,0,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,2,6,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,1,2,2,1,,,1,5,,,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1900,,1900,1,1900,3,3,1,1,1,3,2,1,2,4,3,1,2,4,"3142","60203",1,2,"0101",2,3,3,2,3,2,4,1,2,,4,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1261,1,1766,6,6,2,203,601,1,,1,1,1,4,1,2,2,2,6,,,,,,3,2,0,3,4,1,1,1,2,1,1,2,2,2,2,2,2,0,2,1,2,1,2,1,1,0,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,2,2,2,2,2,2,2,2,1,2,1,,,1,5,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,3,5000,2,1000,1,2,5,3,2,1,1,1,1,,2,,,,"9329","80314",1,1,"2309",2,2,3,2,3,9,9,6,2,,4,1,1,2,1,2,4,2,1,1,,"5245","30314",2,,"4806",1,3,3,1,3,4,9,6,2,,4
1262,1,1156,6,6,2,203,601,1,,1,2,2,4,2,1,1,2,1,,,,,,2,1,1,1,4,1,1,1,2,1,1,1,2,2,2,2,2,0,1,1,1,1,1,3,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,2,2,2,2,2,2,2,1,2,2,1,3,,2,,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2000,,2000,1,1000,1,3,2,2,2,1,4,1,2,5,2,1,2,4,"7115","72313",2,,"4000",2,3,3,1,3,8,8,2,1,4,,1,2,2,1,2,,4,,,,"9111","55314",2,,"9700",2,1,3,2,3,9,11,1,1,2,
1263,1,1735,6,6,2,203,601,1,,1,1,2,4,2,2,1,2,1,,,,,,3,2,0,1,4,1,1,1,2,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,1,0,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,2,1,2,4,,,2,,,,3,,1,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,3700,,3700,1,740,1,3,5,3,1,1,2,1,2,2,4,,,,"7115","72113",2,,"4000",2,2,2,,,6,7,3,1,4,,2,1,2,,,,2,,,,"9211","60314",2,,"1100",4,,3,1,3,10,,3,1,4,
1264,1,1376,6,6,2,203,601,1,,3,1,1,4,2,1,2,1,6,,,,,,3,3,0,2,4,1,1,1,3,1,1,1,2,2,2,2,2,0,2,0,0,2,1,3,0,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,,,,2,6,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,,,,2,2,2,2,2,2,2,2,2,2,4,,,1,5,,,3,,2,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,2,3520,1,1173.3333333333333,1,3,3,8,1,1,4,1,2,5,4,,,,"7131","05002",1,2,"4500",2,2,1,,,5,5,6,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1265,1,1679,6,6,2,203,601,1,,1,1,1,4,2,1,1,2,1,2,,,,,2,2,0,1,4,1,1,1,2,1,1,1,2,2,2,2,2,0,3,0,0,0,0,1,0,0,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,,,,2,1,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,1,1,2,1,,,2,,,,3,,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,11500,,11500,6,2300,3,2,5,3,1,1,2,,,,2,1,2,6,"7542","72313",1,,"4000",1,9,3,1,3,7,,4,1,4,,2,1,4,,,,2,1,2,3,"5414","47113",2,,"8000",2,1,2,,,6,7,4,1,4,
1266,1,519,3,5,1,137,555,2,,1,1,1,4,1,8,,,,,,,,,5,3,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,0,0,3,0,0,3,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,84,2012,1,1,2,2,2,2,2,1,1,1,1,,,2,,,,3,,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14138,,14138,7,2356.3333333333335,3,2,6,6,1,1,1,3,1,,2,,,,"7212","82123",2,,"4502",2,1,2,,,6,7,5,2,,2,2,1,2,1,2,4,2,1,2,1,"8114","80323",2,,"1100",2,3,3,1,3,9,8,5,2,,2
1267,1,447,3,5,1,137,555,2,,1,1,1,2,1,1,1,1,1,,,,,,6,3,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,0,0,3,0,0,3,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,3,21,2013,1,1,2,2,2,2,2,1,1,1,1,,,2,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,62778,10,10463,9,,6,6,1,,,,,,,,,,"9999","99999",,,"9999",9,9,9,,,,,8,1,2,,2,1,3,1,1,,2,1,1,,"5412","48313",,,"8402",1,,3,,,8,,8,1,2,
1268,1,493,3,5,1,137,555,2,,1,1,1,1,1,3,,,,,,,,,7,2,0,1,2,1,1,1,1,1,1,1,1,1,1,2,2,0,1,0,0,3,0,0,3,0,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,160,2013,1,1,1,2,2,2,2,1,1,2,1,2,,2,,,,1,1,3,,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,6,12134,6,4044.6666666666665,6,2,3,3,1,2,2,1,1,,1,1,1,,"9321","80314",2,,"1002",2,4,3,1,3,9,9,6,1,4,,2,1,2,1,1,,2,1,1,,"7112","72123",1,3,"4000",2,2,2,,,6,7,6,1,4,
1269,1,674,3,5,1,137,555,2,,1,1,1,1,1,1,2,2,7,,,,,,4,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,0,0,3,1,0,0,1,2,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,,,,2,6,,,3,,,3,,,3,,,3,,,3,,3,,,,1,1,,3,,,,1,2,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,78,1995,2,1,2,2,2,2,2,1,2,2,4,,,1,1,,,3,,3,,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,6964,,16881,8,4220.25,6,3,4,3,1,3,,,,,,,,,"9990","99999",,,"9999",9,9,9,,,,,6,1,4,,2,1,2,1,2,3,2,1,2,3,"7213","82313",1,2,"2900",2,4,3,1,3,7,8,6,1,4,
1270,1,614,3,5,1,137,555,2,,1,1,1,1,1,1,2,2,7,,,,,,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,3,0,0,3,1,0,0,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,3,,,,1,1,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,182,1995,2,2,2,2,2,2,2,1,2,2,1,2,3,2,,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8441,,8441,4,2110.25,3,3,4,3,1,1,1,3,2,,2,1,2,3,"1420","07001",1,4,"4808",2,6,3,1,3,1,1,5,1,4,,2,1,3,1,2,,2,1,2,,"5414","47394",1,,"9302",1,6,3,1,3,9,8,5,1,4,
1271,1,425,3,5,1,137,555,2,,1,1,1,1,1,1,2,2,1,,,,,,4,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,3,1,0,0,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,6,,,3,,,3,,,3,,,3,,,3,,3,,,,1,3,,3,,,,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,,,,1,1,2,2,2,2,2,1,1,2,1,,,1,4,,,2,1,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,3,8757,4,2189.25,3,2,4,7,1,1,1,1,2,6,2,6,,,"8331","34323",2,,"4903",2,6,3,1,3,9,8,8,1,2,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
1272,1,495,3,5,1,137,555,2,,1,1,1,2,1,3,,,,,,,,,6,3,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,2,2,3,3,0,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,1,173,1998,2,2,2,1,2,2,2,1,1,2,4,,,1,1,,,3,,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3587,,3587,1,3587,5,3,1,1,1,1,3,1,2,3,2,1,2,2,"9214","56314",2,,"4000",1,6,3,1,3,10,9,8,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
